[0617/210944.722:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/build/three.js (21172)
[0617/210945.106:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.144:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.145:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.463:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.467:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.467:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.501:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.504:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/box_1_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.504:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/box_1_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.559:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.563:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.563:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.607:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.623:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.623:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.740:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.745:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/cnc_vertical_machining_center_2_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.745:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/cnc_vertical_machining_center_2_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.790:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.795:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/cnc_vertical_machining_center_3_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.797:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/cnc_vertical_machining_center_3_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/210945.840:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/210945.854:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Job Shop/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/210945.856:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Job Shop/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/211141.730:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
[0617/211427.224:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/211427.229:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Airport/3d/detector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/211427.229:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Airport/3d/detector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/211427.287:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/211427.293:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Airport/3d/xray.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/211427.293:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Airport/3d/xray.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/211427.356:INFO:CONSOLE(19709)] "THREE.WebGLRenderer: image is not power of two (400x400). Resized to 256x256 [object HTMLImageElement]", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/build/three.js (19709)
[0617/211427.438:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/211427.447:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Airport/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/211427.447:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Airport/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/211427.493:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/211427.520:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Airport/3d/woman_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/211427.520:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Airport/3d/woman_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
[0617/211427.570:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.1", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/libs/ColladaLoader.js (3660)
[0617/211427.579:INFO:CONSOLE(255)] "Loaded: file:C:/Users/david/Models/Airport/3d/check_in_counter.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (255)
[0617/211427.580:INFO:CONSOLE(271)] "load end: file:C:/Users/david/Models/Airport/3d/check_in_counter.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503101134/static/init.js (271)
